rt,response,time_elapsed,trial,distractor,target,type,id
48264.21500000107,It is something that people travel on It is called an airplane,300565,2,practiceDistractor2,practiceTarget2,practice,32
51506.264999999956,It is something that looks like it blows air out the side of it not sure about the name of it,352177,3,5,6,known,32
65846.84500000003,It is something that people grab and when they are working out sometimes but i dont know the name,418135,4,7,11,known,32
39054.57500000007,It looks like a hat of some sort but i dont know the name,457299,5,4,8,known,32
25436.71999999968,It looks like a plunger but i could be wrong,482843,6,9,10,known,32
40081.1350000003,The top of it kinda looks like a ufo but i dont really know the name of it,523032,7,9,12,known,32
29019.565000000526,The top kinda looks like a ufo but i dont know the name of it,552160,8,2,12,known,32
25043.730000001146,The top kinda looks like a ufo but i dont know the name of it,577310,9,3,12,known,32
35440.64000000071,It looks like a door weight or some type of weight someone would use,612860,10,12,1,known,32
33447.79999999993,It is a dice that you roll when you playing game like crapsyatzeeetc,646418,11,F,H,unknown,32
10557.715000000782,It is a cat,657081,12,K,B,unknown,32
14450.850000001024,It is a pen that you can write with,671641,13,I,D,unknown,32
18859.360000000335,It is a fork that you can eat with,690608,14,J,G,unknown,32
27498.394999998738,It is a chair that you can sit down in it looks like from a dining table,718213,15,J,E,unknown,32
18163.370000000228,It is a chair that you can sit in,736485,16,C,E,unknown,32
12853.454999998561,It is a chair to sit in,749444,17,A,E,unknown,32
10165.755000000005,It is a flower,759715,18,E,L,unknown,32
4140.554999990854,bird,34464,1,practiceDistractor1,practiceTarget1,practice,28
6062.854999996489,plane,40636,2,practiceDistractor2,practiceTarget2,practice,28
4983.614999990095,sucker,45729,3,7,10,known,28
10985.140000004321,round sculpture,56823,4,3,1,known,28
4566.774999999325,white ball,61498,5,11,8,known,28
11727.399999988847,handle,73333,6,12,9,known,28
5457.735000003595,black plane,78894,7,12,5,known,28
4187.615000002552,black plane,83191,8,4,5,known,28
178000.94999998691,black plane,261303,9,6,5,known,28
6157.64499999932,glass ball,267573,10,5,2,known,28
3220.3449999942677,shoe,270897,11,J,C,unknown,28
3666.4699999964796,butterfly,274671,12,L,K,unknown,28
2800.8299999928568,ring,277577,13,E,F,unknown,28
4199.139999996987,dice,281883,14,I,H,unknown,28
3115.0699999998324,cat,285107,15,I,B,unknown,28
2600.1950000063516,cat,287816,16,A,B,unknown,28
3061.7399999900954,cat,290984,17,D,B,unknown,28
3422.9099999938626,fork,294513,18,B,G,unknown,28
8443.610000000263,The object has wings,58311,1,practiceDistractor1,practiceTarget1,practice,15
